k\t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99
2,0,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99
3,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99,-99
4,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99
6,0,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99
7,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99,-99,-99
8,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99,-99,-99
9,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99,-99,-99
10,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99,-99,-99
11,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99
12,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99,-99,-99
13,0,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14,0,0,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15,0,0,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99
19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,